timestamp,x,y,z
1540109828499502,-10.125,-2.9375,5.625
1540109828523437,-27.4375,-14.0625,14.375
1540109828545396,-49.1875,-28.4375,33.1875
1540109828568316,-54,-29.5,53.8125
1540109828582663,-33.5,-26.5,61.25
1540109828607221,-5.125,-25.6875,60.1875
1540109828651099,8,-25.25,62.125
1540109828660074,12.125,-26.0625,72.0625
1540109828661068,4.75,-27.0625,84.9375
1540109828674034,3.125,-25.3125,92.25
1540109828695976,2.875,-21.125,91.75
1540109828713928,-4.9375,-17.375,92.875
1540109828735869,-9.75,-16.3125,96.1875
1540109828787730,-18.3125,-13.5,100.313
1540109828787730,-20.5,-5.6875,98.5625
1540109828794711,-30,0.0625,95
1540109828814658,-35.125,0.5625,100.375
1540109828831612,-39.5,3.8125,109.813
1540109828861532,-50,8.1875,116.438
1540109828884470,-67.0625,11.5625,122.25
1540109828899431,-68.5625,15.75,125.5
1540109828921373,-67.4375,13.375,131.375
1540109828943367,-61.25,4.625,143.125
1540109828959271,-51.5,-0.5625,161.063
1540109828982209,-60.625,-4,175.063
1540109829003153,-59.0625,-17.625,186.688
1540109829019110,-52.5,-36.0625,202.063
1540109829042053,-46.5,-43,214.875
1540109829062993,-47,-54.3125,223.125
1540109829078954,-44.375,-68.5625,237.563
1540109829101889,-51.1875,-80,250.938
1540109829122835,-38.25,-89.625,260.938
1540109829145805,-26.5,-88.75,267.688
1540109829161740,-25.0625,-89.3125,261.625
1540109829183200,-6.6875,-92.8125,254.688
1540109829198678,16.4375,-87.9375,238.188
1540109829223567,3.3125,-87.3125,201.875
1540109829244546,-20.0625,-95.1875,164.875
1540109829249495,-34,-100.375,149.563
1540109829272439,-34,-102.75,138.25
1540109829294434,-32.625,-109.75,114.563
1540109829318441,-38.625,-103.625,103.188
1540109829332273,-38.8125,-98.5625,88.1875
1540109829364189,-40.9375,-97.3125,76.75
1540109829370172,-56.5625,-113.313,71.1875
1540109829392606,-72.5625,-113.625,69.375
1540109829424028,-51.75,-96.25,54.3125
1540109829430011,-39.25,-83.0625,37.625
1540109829452137,-54.625,-79.0625,24.9375
1540109829474892,-52.1875,-47.375,18.5
1540109829490007,-15.75,-21.0625,11.375
1540109829512790,-7.8125,-9,1.3125
1540109829534734,-16.6875,-5.375,-3.25
1540109829549746,-2.4375,3.625,-8.4375
1540109829572633,14,16.5625,-13.125
1540109829594572,16.0625,25.8125,-19.6875
1540109829609862,11.4375,32.0625,-24.3125
1540109829632472,11.875,43.5625,-29.6875
1540109829647430,20.75,58.5625,-43.375
1540109829669372,26.4375,67.125,-67.625
1540109829701288,29.125,74.6875,-87
1540109829707270,38.4375,88.0625,-97.75
1540109829730209,51.8125,103.75,-110.438
1540109829752150,61.5,118.938,-131.938
1540109829770142,59.8125,122.75,-153.438
1540109829790048,45.5625,124.25,-171.438
1540109829812147,34.625,131.313,-185.688
1540109829829942,44.1875,139.5,-202.875
1540109829849889,46.5625,142.313,-225.75
1540109829872833,31.0625,141.938,-255.875
1540109829890843,13.375,143,-276.188
1540109829909736,9,144.125,-288.75
1540109829932730,12.9375,139.313,-302.563
1540109829950620,1.6875,127.688,-306.25
1540109829977599,-17.25,123.5,-291.25
1540109829992507,-20.5,123.688,-268.125
1540109830010460,-10.375,113.625,-234.188
1540109830029408,-14.4375,97.625,-204.5
1540109830052349,-5.75,90.75,-187.875
1540109830070300,7.3125,79.9375,-181.625
1540109830097277,20.5,71.5,-168.688
1540109830112240,19.8125,64.5625,-160.063
1540109830130258,23.9375,66.5,-141.313
1540109830150153,27.9375,51.875,-130.875
1540109830175020,36.0625,38.8125,-122.688
1540109830189981,32.6875,25.4375,-124.563
1540109830210001,39.9375,20,-118.938
1540109830231866,35.5,6.6875,-105.875
1540109830250039,28.9375,-6.1875,-100.563
1540109830269765,36.375,-1.8125,-103.188
1540109830291796,55.625,-2.0625,-102.563
1540109830310657,57.4375,-15.4375,-75.4375
1540109830331603,66.0625,-20.6875,-45.875
1540109830352543,52.375,-19.625,-27.625
1540109830370496,35.625,-10.5625,-18.6875
1540109830391441,19.8125,-3.6875,-14.25
1540109830412389,14,-4.5,-7.375
1540109830430342,36.875,-7.5625,-4.9375
1540109830451282,45.125,-7.5625,-4.1875
1540109830472257,39.1875,-3.9375,-4.4375
