timestamp,x,y,z,w
1540109828499502,0.201599,0.65271,-0.306946,-0.66272
1540109828523437,0.204407,0.655212,-0.305115,-0.660156
1540109828545396,0.210266,0.660095,-0.302673,-0.654541
1540109828568316,0.220093,0.664978,-0.30249,-0.646423
1540109828582663,0.229858,0.667053,-0.306946,-0.638733
1540109828607221,0.236755,0.666992,-0.315125,-0.632263
1540109828651099,0.24231,0.665771,-0.325012,-0.626404
1540109828660074,0.247864,0.663879,-0.336121,-0.620361
1540109828661068,0.255432,0.661804,-0.347595,-0.613159
1540109828674034,0.263916,0.65979,-0.35907,-0.605103
1540109828695976,0.272278,0.65741,-0.369751,-0.597412
1540109828713928,0.282288,0.655151,-0.379578,-0.58905
1540109828735869,0.293396,0.652649,-0.38916,-0.580078
1540109828787730,0.305786,0.650085,-0.397888,-0.570618
1540109828787730,0.31897,0.64679,-0.405701,-0.561523
1540109828794711,0.333435,0.643555,-0.411926,-0.552246
1540109828814658,0.348328,0.640076,-0.417725,-0.542725
1540109828831612,0.364868,0.635742,-0.423523,-0.532288
1540109828861532,0.38324,0.631042,-0.428284,-0.520996
1540109828884470,0.403931,0.626526,-0.431396,-0.508118
1540109828899431,0.425171,0.621094,-0.434021,-0.495056
1540109828921373,0.446411,0.614929,-0.437195,-0.481079
1540109828943367,0.467224,0.607727,-0.442261,-0.465576
1540109828959271,0.48822,0.598389,-0.449707,-0.448669
1540109828982209,0.510681,0.588135,-0.457275,-0.429138
1540109829003153,0.532532,0.577209,-0.466492,-0.406921
1540109829019110,0.553284,0.565002,-0.478394,-0.381836
1540109829042053,0.573425,0.550781,-0.491699,-0.355103
1540109829062993,0.592529,0.535522,-0.505798,-0.325928
1540109829078954,0.610474,0.518555,-0.521484,-0.294006
1540109829101889,0.627747,0.500427,-0.537292,-0.258484
1540109829122835,0.643066,0.479248,-0.554504,-0.222107
1540109829145805,0.656982,0.454895,-0.571716,-0.185913
1540109829161740,0.668701,0.430054,-0.587646,-0.150024
1540109829183200,0.677551,0.403381,-0.603821,-0.116577
1540109829198678,0.683899,0.375,-0.619629,-0.0874023
1540109829223567,0.687134,0.351501,-0.632996,-0.0601196
1540109829244546,0.686523,0.334839,-0.644531,-0.0336914
1540109829249495,0.683838,0.321472,-0.654907,-0.00726318
1540109829272439,0.679626,0.309204,-0.664917,0.0180054
1540109829294434,0.672913,0.298889,-0.675354,0.0411987
1540109829318441,0.665527,0.290527,-0.68457,0.0631714
1540109829332273,0.656555,0.284363,-0.693726,0.0822754
1540109829364189,0.647278,0.27887,-0.702148,0.101074
1540109829370172,0.635742,0.275635,-0.710632,0.121704
1540109829392606,0.623108,0.274536,-0.71814,0.143677
1540109829424028,0.611267,0.27301,-0.725403,0.160156
1540109829430011,0.601135,0.269958,-0.731628,0.174438
1540109829452137,0.59082,0.270203,-0.73645,0.188477
1540109829474892,0.581604,0.273193,-0.740112,0.198303
1540109829490007,0.576721,0.272583,-0.74292,0.202698
1540109829512790,0.574219,0.27124,-0.744629,0.205444
1540109829534734,0.571899,0.272522,-0.745361,0.207642
1540109829549746,0.57074,0.273743,-0.746094,0.206543
1540109829572633,0.572021,0.273315,-0.746277,0.202881
1540109829594572,0.574768,0.273376,-0.745483,0.198059
1540109829609862,0.577881,0.274902,-0.743896,0.192566
1540109829632472,0.582092,0.277771,-0.741394,0.185425
1540109829647430,0.587646,0.281311,-0.73822,0.174744
1540109829669372,0.593323,0.286316,-0.735046,0.1604
1540109829701288,0.598633,0.292908,-0.731689,0.142944
1540109829707270,0.604248,0.299988,-0.728027,0.121765
1540109829730209,0.612244,0.307129,-0.722107,0.0966797
1540109829752150,0.620789,0.315308,-0.7146,0.0670776
1540109829770142,0.628052,0.325562,-0.705933,0.0348511
1540109829790048,0.633362,0.339172,-0.695557,0.00170898
1540109829812147,0.637695,0.355469,-0.682556,-0.0326538
1540109829829942,0.640869,0.371826,-0.667847,-0.0705566
1540109829849889,0.641724,0.389465,-0.651245,-0.111023
1540109829872833,0.639343,0.411255,-0.63147,-0.15271
1540109829890843,0.634155,0.436218,-0.608032,-0.19458
1540109829909736,0.626221,0.461792,-0.581787,-0.236816
1540109829932730,0.614502,0.487122,-0.553955,-0.279663
1540109829950620,0.599854,0.512878,-0.524231,-0.319763
1540109829977599,0.585022,0.537659,-0.49231,-0.355408
1540109829992507,0.57074,0.558777,-0.459961,-0.387817
1540109830010460,0.556763,0.575012,-0.430908,-0.416809
1540109830029408,0.544006,0.58844,-0.404663,-0.44043
1540109830052349,0.531433,0.599182,-0.381042,-0.461975
1540109830070300,0.51709,0.608582,-0.359741,-0.482483
1540109830097277,0.501892,0.616089,-0.341309,-0.502014
1540109830112240,0.486877,0.622864,-0.323853,-0.519653
1540109830130258,0.473206,0.627258,-0.307983,-0.536377
1540109830150153,0.459106,0.631409,-0.294678,-0.551086
1540109830175020,0.444397,0.635376,-0.283997,-0.564026
1540109830189981,0.428833,0.640808,-0.273438,-0.575012
1540109830210001,0.412415,0.645996,-0.264099,-0.585571
1540109830231866,0.397156,0.651245,-0.256714,-0.593445
1540109830250039,0.38269,0.657593,-0.250122,-0.598816
1540109830269765,0.367126,0.663147,-0.243591,-0.605103
1540109830291796,0.349121,0.667236,-0.239319,-0.612915
1540109830310657,0.332642,0.669617,-0.23938,-0.619385
1540109830331603,0.318604,0.670776,-0.24353,-0.623901
1540109830352543,0.30835,0.672058,-0.247437,-0.626099
1540109830370496,0.30127,0.672974,-0.249512,-0.627747
1540109830391441,0.297241,0.673706,-0.250122,-0.628662
1540109830412389,0.295288,0.674438,-0.251343,-0.628296
1540109830430342,0.290527,0.674438,-0.255249,-0.628967
1540109830451282,0.284302,0.67395,-0.259766,-0.630432
1540109830472257,0.278931,0.672852,-0.263733,-0.632385
